Sentiment,Avg PnL,Total Volume,Avg Trade Size,Trade Count
Extreme Greed,67.89286133909282,124465164.57,3112.2515645629123,39992
Fear,54.2903996254993,483324789.79,7816.109930785776,61837
Greed,42.74355948851957,288582494.72,5736.884375086974,50303
Extreme Fear,34.53786207897196,114484261.44,5349.7318429906545,21400
Neutral,34.30771839807886,180242063.08,4782.732661465797,37686
